city,state,averageTempMonthly,month,lat,lon,averageAQIMonthly,mainPollutantMonthly,AQI category,averagePrecipitationMonthly,averageWindSpeedMonthly
San Francisco,CA,14,May,37.7749,-122.4194,53,PM2.5,Moderate,0,17
Seattle,WA,16,May,47.6062,-122.3321,44,Ozone,Good,0,7
State College,PA,15,May,40.7934,-77.86,50,Ozone,Good,0,7
"Washington, D.C.",DC,18,May,38.9072,-77.0369,57,Ozone,Moderate,1,12
Athens,GA,23,June,33.9519,-83.3576,79,Ozone,Moderate,6,7
Baltimore,MD,23,June,39.2904,-76.6122,84,Ozone,Moderate,4,14
Boston,MA,18,June,42.3601,-71.0589,58,Ozone,Moderate,2,15
Chapel Hill,NC,24,June,35.9132,-79.0558,63,Ozone,Moderate,2,9
Charlotte,NC,23,June,35.2271,-80.8431,72,Ozone,Moderate,3,9
Chicago,IL,22,June,41.8781,87.6298,113,Ozone,Unhealthy for Sensitive Groups,1,14
Cleveland,OH,20,June,41.4993,-81.6944,101,PM2.5,Moderate,2,13
Dallas,TX,28,June,32.7767,-96.797,86,Ozone,Moderate,3,12
Denver,CO,19,June,39.7392,-104.9903,82,Ozone,Moderate,4,13
Detroit,MI,20,June,42.3314,-83.0458,103,PM2.5,Moderate,2,13
Greensboro,NC,21,June,36.0726,-79.7915,67,PM2.5,Moderate,2,11
Houston,TX,29,June,29.7604,-95.3698,84,Ozone,Moderate,1,13
Ithaca,NY,18,June,42.444,-76.5019,44,Ozone,Good,4,9
Kahului,HI,26,June,20.889,-156.4743,14,PM2.5,Good,0,23
Los Angeles,CA,19,June,34.0522,-118.2437,70,Ozone,Moderate,0,4
Madison,WI,21,June,43.0731,-89.4012,107,Ozone,Unhealthy for Sensitive Groups,1,8
Miami,FL,28,June,25.7617,-80.1918,46,PM2.5,Good,6,9
Minneapolis,MN,23,June,44.9778,-93.265,102,Ozone,Moderate,1,10
New York City,NY,21,June,40.7128,-74.006,88,PM2.5,Moderate,2,9
Orlando,FL,27,June,28.5383,-81.3792,48,Ozone,Good,5,12
Philadelphia,PA,21,June,39.9526,-75.1652,96,PM2.5,Moderate,3,13
Phoenix,AZ,32,June,33.4484,-112.074,110,Ozone,Unhealthy for Sensitive Groups,0,11
Portland,OR,19,June,45.5155,-122.6793,43,Ozone,Good,1,10
Raleigh,NC,24,June,35.7796,-78.6382,70,PM2.5,Moderate,2,9
Richmond,VA,22,June,37.5407,-77.436,72,PM2.5,Moderate,3,10
San Francisco,CA,15,June,37.7749,-122.4194,55,PM2.5,Good,0,16
Seattle,WA,16,June,47.6062,-122.3321,42,Ozone,Good,0,7
State College,PA,19,June,40.7934,-77.86,80,Ozone,Moderate,3,7
"Washington, D.C.",DC,23,June,38.9072,-77.0369,88,Ozone,Moderate,1,13
Athens,GA,26,July,33.9519,-83.3576,72,Ozone,Moderate,3,5
Baltimore,MD,28,July,39.2904,-76.6122,73,Ozone,Moderate,3,11
Boston,MA,24,July,42.3601,-71.0589,58,Ozone,Moderate,8,14
