Date,Overall AQI Value,Main Pollutant,Ozone,PM25,CO,PM10,NO2,AQI category,city,state,Temperature,Precipitation,Wind Speed
2023-05-20,40,Ozone,40.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,15.0,5.0,16.0
2023-05-21,42,Ozone,42.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,14.5,0.0,11.0
2023-05-22,37,Ozone,37.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,13.2,0.0,8.9
2023-05-23,45,Ozone,45.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,16.0,0.0,6.3
2023-05-24,43,Ozone,43.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,13.7,1.3,12.2
2023-05-25,29,Ozone,29.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,8.3,0.0,13.1
2023-05-26,41,Ozone,41.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,10.8,0.0,10.9
2023-05-27,46,Ozone,46.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,14.7,0.0,8.3
2023-05-28,97,Ozone,97.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,18.3,0.0,5.8
2023-05-29,93,Ozone,93.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,19.8,0.0,9.0
2023-05-30,64,Ozone,64.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,21.2,0.0,14.2
2023-05-31,77,Ozone,77.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,22.1,0.0,5.8
2023-06-01,80,Ozone,80.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,22.4,0.0,9.6
2023-06-02,74,Ozone,74.0,40.0,6.0,18.0,25.0,Moderate,Ithaca,NY,22.3,0.0,9.4
2023-06-03,43,Ozone,43.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,19.0,0.1,14.9
2023-06-04,43,Ozone,43.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,13.8,0.0,11.8
2023-06-05,44,Ozone,44.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,14.1,0.0,9.7
2023-06-06,42,Ozone,42.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,13.8,1.3,11.1
2023-06-07,39,Ozone,39.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,11.9,0.0,10.9
2023-06-08,24,Ozone,24.0,40.0,6.0,18.0,25.0,Good,Ithaca,NY,11.2,2.0,7.2
